,0
0,Arkansas
1,Connecticut
2,Delaware
3,Georgia
4,Iowa
5,Kansas
6,Massachusetts
7,Montana
8,New Hampshire
9,Ohio
10,Oklahoma
11,Rhode Island
12,Virginia
13,West Virginia
14,Wisconsin
15,Wyoming
